Date,GS,JPM,KO,MA,PEP,V
2023-09-19,327.81756591796875,142.0853271484375,55.206947326660156,408.75006103515625,168.13157653808594,239.97225952148438
2023-09-20,322.8411560058594,141.48431396484375,55.45366287231445,405.7748107910156,168.1881561279297,238.29733276367188
2023-09-21,316.6470947265625,140.3776092529297,54.59965133666992,398.6975402832031,165.35958862304688,233.12464904785156
2023-09-22,314.3938293457031,139.0324249267578,54.656585693359375,397.57073974609375,165.25588989257812,231.6171875
2023-09-25,315.3047180175781,139.7193145751953,54.08724594116211,397.8376159667969,164.36956787109375,229.92250061035156
2023-09-26,310.4913330078125,138.2691650390625,53.64126205444336,390.8098449707031,162.6629638671875,226.2671661376953
2023-09-27,308.6983337402344,139.0801239013672,53.090904235839844,390.9087219238281,159.88153076171875,226.11936950683594
2023-09-28,311.8145751953125,140.8069305419922,52.95806121826172,394.82293701171875,159.81552124023438,228.24755859375
2023-09-29,310.2515869140625,138.35504150390625,53.11936950683594,391.333740234375,159.7589569091797,226.62184143066406
2023-10-02,305.39031982421875,137.16249084472656,52.64491653442383,391.2744445800781,159.50437927246094,227.86329650878906
2023-10-03,293.5198669433594,136.15121459960938,52.07558059692383,386.5397644042969,158.1183624267578,225.43954467773438
2023-10-04,295.8978576660156,136.76181030273438,52.22740173339844,389.20855712890625,159.25924682617188,227.81402587890625
2023-10-05,297.7195739746094,137.3384552001953,49.70333480834961,390.2083740234375,150.95260620117188,230.04074096679688
2023-10-06,299.61810302734375,139.4528350830078,50.424495697021484,393.94012451171875,151.13172912597656,231.57774353027344
2023-10-09,299.74273681640625,139.1356658935547,50.17778396606445,390.7428894042969,152.14060974121094,230.98660278320312
2023-10-10,301.8138122558594,139.98141479492188,51.26901626586914,396.31585693359375,155.0069122314453,233.11480712890625
2023-10-11,300.13592529296875,140.46194458007812,50.965370178222656,395.7615661621094,153.32861328125,232.2083282470703
2023-10-12,297.0964050292969,140.1352081298828,50.11136245727539,395.8506774902344,149.0480194091797,233.29212951660156
2023-10-13,296.5689697265625,142.2399444580078,50.18727111816406,393.99957275390625,150.85830688476562,234.1690216064453
2023-10-16,301.4494934082031,142.09580993652344,50.699676513671875,397.0978698730469,151.87660217285156,236.53367614746094
2023-10-17,296.6265563964844,141.78826904296875,51.306976318359375,397.7016906738281,151.20718383789062,237.6470184326172
2023-10-18,289.5311279296875,140.2313232421875,51.28799057006836,389.22833251953125,152.77230834960938,233.97198486328125
2023-10-19,286.8751220703125,139.6354522705078,51.572662353515625,383.9424743652344,151.3863067626953,230.3658905029297
2023-10-20,287.69970703125,137.38650512695312,51.78142547607422,380.5174865722656,150.85830688476562,229.9422149658203
2023-10-23,286.9039306640625,135.5124053955078,51.31645965576172,379.7850036621094,150.93373107910156,228.1194610595703
2023-10-24,286.8655090332031,135.67578125,52.7967414855957,382.99212646484375,152.92318725585938,231.19349670410156
2023-10-25,284.5451354980469,134.9357452392578,53.25221633911133,382.3982238769531,153.0740509033203,233.3611297607422
2023-10-26,284.76568603515625,135.28172302246094,52.929588317871094,360.8981628417969,152.187744140625,227.87315368652344
2023-10-27,277.97711181640625,130.4090576171875,52.41718673706055,360.393310546875,150.5,225.8927764892578
2023-10-30,288.4476013183594,132.07174682617188,53.28068923950195,368.6488952636719,153.00804138183594,229.64662170410156
2023-10-31,291.1131591796875,133.64788818359375,53.60330581665039,372.5390930175781,153.95091247558594,231.6368865966797
2023-11-01,294.51708984375,133.53256225585938,53.55585861206055,373.9942321777344,155.45005798339844,235.06561279296875
2023-11-02,300.8454284667969,135.91604614257812,54.172645568847656,378.8149108886719,157.29808044433594,239.66685485839844
2023-11-03,314.1348876953125,137.43455505371094,53.840538024902344,382.1408996582031,157.26034545898438,240.0116729736328
2023-11-06,310.57763671875,138.4725341796875,54.05877685546875,382.249755859375,157.17550659179688,239.90330505371094
2023-11-07,310.6159973144531,138.40525817871094,54.25804901123047,384.9322814941406,157.6280517578125,241.16445922851562
2023-11-08,311.20086669921875,139.08763122558594,54.172645568847656,385.7539367675781,157.82608032226562,240.8287353515625
2023-11-09,307.57647705078125,138.67434692382812,53.764617919921875,384.03155517578125,156.6663360595703,238.58743286132812
2023-11-10,312.1117858886719,140.73106384277344,53.821556091308594,390.3865051269531,157.38294982910156,242.1518096923828
2023-11-13,313.4541320800781,140.1063690185547,54.02082443237305,390.3568420410156,158.1843719482422,241.57913208007812
2023-11-14,324.7780456542969,142.66285705566406,54.182132720947266,393.6234130859375,158.50494384765625,243.82046508789062
2023-11-15,323.70416259765625,143.91226196289062,54.28651428222656,392.8116760253906,157.69406127929688,244.97567749023438
2023-11-16,322.81243896484375,145.55569458007812,54.229583740234375,393.0789794921875,158.1278076171875,245.42987060546875
2023-11-17,325.2287292480469,146.8723602294922,54.333961486816406,396.2465515136719,157.23207092285156,246.40737915039062
2023-11-20,325.4779968261719,147.32408142089844,54.4668083190918,400.3050537109375,157.00579833984375,246.8121795654297
2023-11-21,321.18243408203125,147.0165252685547,55.064613342285156,404.8089599609375,158.212646484375,249.0436248779297
2023-11-22,324.70135498046875,147.36251831054688,55.4346809387207,406.17498779296875,159.55154418945312,250.5148162841797
2023-11-24,325.1903381347656,147.5643310546875,55.5770149230957,408.32305908203125,159.69293212890625,251.0874786376953
2023-11-27,323.8096008300781,147.2279815673828,55.47263717651367,404.8287353515625,158.7029571533203,250.92950439453125
2023-11-28,323.7521057128906,147.5643310546875,55.586509704589844,404.86834716796875,159.2120819091797,249.74465942382812
2023-11-29,328.9336853027344,148.3140106201172,55.25438690185547,405.6701965332031,157.60922241210938,251.01834106445312
2023-11-30,330.17108154296875,150.0054931640625,55.89521789550781,409.63958740234375,159.8845977783203,253.43740844726562
2023-12-01,336.8316955566406,150.7359161376953,56.08650588989258,410.1641540527344,160.26463317871094,253.2103271484375
